date,plan,exercise,weight,reps
2021-11-23,,Leg Extensions Machine,73,8
2021-11-23,,Leg Extensions Machine,73,8
2021-11-22,,Hanging Leg Raises Bodyweight,0,10
2021-11-22,,Hanging Leg Raises Bodyweight,0,10
2021-11-22,,Hanging Leg Raises Bodyweight,0,10
2021-11-22,,Standing Russian Twists Cable,17,10
2021-11-22,,Standing Russian Twists Cable,17,10
2021-11-22,,Leg Raises Bodyweight,45,8
2021-11-22,,Leg Raises Bodyweight,45,10
2021-11-22,,Leg Raises Bodyweight,45,10
2021-11-22,,Crunch Machine Machine,45,10
2021-11-22,,Crunch Machine Machine,54,10
2021-11-22,,Crunch Machine Machine,56,10
2021-11-22,,Lateral Raises Dumbbells,8,10
2021-11-22,,Lateral Raises Dumbbells,6,15
2021-11-22,,Lateral Raises Dumbbells,4,15
2021-11-22,,Lateral Raises Dumbbells,4,10
